#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;;;;;;
roi_oint_desc;This character has been anointed and crowned as the King of France at the Cathedral of Reims;Ce personnage a été sacré Roi de France dans la cathédrale de Reims;;;;;;;;;;;;x;;;;;;;;
EVTTOOLTIPRIRSEI.424242;The peers of the realm assemble at Reims;Les pairs du royaume se rassemblent à Reims;;;;;;;;;;;;x;;;;;;;;
sacreroifrance;Prepare the "Sacre" at Reims;Organisons notre sacre à Reims;;;;;;;;;;;;x;;;;;;;;
sacreroifrance_desc;Only when we have been anointed with the holy Chrism will we be recognized as the true King of France.;Le peuple, l'Eglise et nos vassaux ne reconnaissent véritablement comme roi de France qu'un roi oint du saint chreme;;;;;;;;;;;;x;;;;;;;;
EVTOPTA_RIRSEI_424242;Domine salvum fac Regem !;Domine salvum fac Regem !;;;;;;;;;;;;;;x;;;;;;
pretention_principat;Incorporate the County of Barcelona;Joindre juridiquement le comté de Barcelone à la couronne d'Aragon;;;;;;;;;;;;x;;;;;;;;
pretention_principat_desc;The King of France claims he is the de jure liege of our lands in the Principality of Catalonia, but our jurists have proven that the territory of the Marca Hispanica had been independent and autonomous during the time of Carolus Magnus. As we are the true heirs to the territory of the March, the Principality rightfully belongs to the Crown of Aragon.;Le roi de France prétend qu'il est le suzerain de jure de nos terres du Principat. Mais les travaux de nos juristes ont mis en avant l'indépendance et l'autonomie de la Marca Hispanica au temps de Charlemagne. Le royaume d'Aragon étant l'héritier de la Marche, cela signifie que le Principat appartient juridiquement à la couronne d'Aragon;;;;;;;;;;;;x;;;;;;;;
pretention_comtats;Claim els Comtats;Réclamer els Comtats;;;;;;;;;;;;x;;;;;;;;
pretention_comtats_desc;The pretentious king of Aragon has dared to claim that he has more right to the lands of the Principality of Catalonia than we do. Our jurists have found evidence to believe that the lands of Roussillon, Vallespir, Conflent and Cerdagne could be joined with that of Septimania, that is to say, with our realm. It is time to reclaim what is rightfully ours!;Le félon roi d'Aragon vient de démontrer qu'il possède plus de droits juridiques que nous sur le Principat. Nos propres juristes ont travaillé sur sa déclaration et ils disent que les Comtés du Roussillon, du Vallespir, du Conflent et de Cerdagne peuvent être rattachés à la Septimanie/Marquisat de Gothie, c'est-à-dire à notre royaume : il est temps d'afficher nos nouvelles prétentions ! ;;;;;;;;;;;;x;;;;;;;;
rex_is_imperator;"Declare "Le roi est empereur en son royaume" (The King is Emperor in his realm);Déclarer que le roi est empereur en son royaume;;;;;;;;;;;;x;;;;;;;;
rex_is_imperator_desc;The consolidation of royal power within our realm and the creation of a powerful administration has made the Kingdom of France the shining jewel of Christendom. In light of this, we can no longer accept the Emperor's supposed temporal sovereignty over our lands. The recent discovery of precedents established in Roman law have made it possible for us to declare the King of France as Emperor in his own realm.;L'affirmation de notre pouvoir royal et la création d'une administration étatique puissante fait du royaume de France la perle des royaumes chrétiens. Nous ne pouvons donc plus supporter la prétendue supériorité et souveraineté temporelle de l'Empereur sur le roi de France. Heureusement la redécouverte et la diffusion du droit romain fait qu'il est possible de s'émanciper à jamais de la tutelle impériale en déclarant que "rex in regno suo est imperator";;;;;;;;;;;;x;;;;;;;;
Imp_regn;Rex in regno suo est imperator;Le roi est empereur en son royaume;;;;;;;;;;;;x;;;;;;;;
Imp_regn_desc;This character ruled out any imperial pretentions and strengthened his grip on his kingdom by the Roman law;Ce roi est dégagé de toute prétention impériale sur ses territoires. De plus, il s'appuie sur le droit romain pour justifier une plus grande emprise sur son royaume;;;;;;;;;;;;x;;;;;;;;
EVTOPTA_RIRSEI_454545;Quod principi placuit legis habet vigorem !;Quod principi placuit legis habet vigorem !;;;;;;;;;;;;x;;;;;;;;
EVTTOOLTIPRIRSEI.454545;Rex in regno suo est imperator !;Rex in regno suo est imperator !;;;;;;;;;;;;x;;;;;;;;
EVTNAME_RIRSEI_454545;The King is Emperor in his own realm;Le roi est empereur en son royaume;;;;;;;;;;;;x;;;;;;;;
EVTDESC_RIRSEI_454545;According to the jurist Jean de Blanot, the precedent of Roman law maintains that a Prince (Princeps) is not subject to any lawsince he is, in fact, the law. It is evident that our power over our realm is equal to that of such a Prince, as opposed to that of the Emperor, who has little power or control over our subjects. Our jurists cite the writings of Ulpian to affirm one truth: the King of France is Emperor in his own realm.;Selon notre conseiller Jean de Blanot, le droit romain affirme que le Prince est celui dont la volonté est force de loi. Il est évident que notre puissance dans notre royaume est équivalente à celle du Princeps, contrairement à l'Empereur qui n'a aucune influence. Nos juristes citent des passages du juriconsulte Ulpien pour l'affirmer : le roi de France est empereur en son royaume.;;;;;;;;;;;x;;;;;;;;;
Emp_in_suo;The Emperor is angered by the French King's claim of sovereignty;L'Empereur est mécontent envers le roi de France qui a affirmé qu'il n'existait aucun souverain temporel au-dessus de lui;;;;;;;;;;;x;;;;;;;;;
EVTOPTB_RIRSEI_454545;May he be cursed for his insolence!;Maudit soit le roi de France !;;;;;;;;;;;x;;;;;;;;;
EVTNAME_RIRSEI_464646;The King of France is Emperor in his own Realm;Le Roi de France est empereur en son royaume !;;;;;;;;;;;x;;;;;;;;;
EVTDESC_RIRSEI_464646;That miserable beggar who calls himself the King of France has assembled a decrepit council of senile jurists to affirm that he is Emperor in his own Realm and thus recognizes no higher authority save that of God. Such insolence is a grave insult to our imperium!;Ce misérable gueux qu'est le roi de France s'est entouré d'une cohorte de juristes pour affirmer qu'il est empereur en son royaume et qu'il ne connaît nul souverain temporel supérieur. C'est un véritable affront à notre imperium !;;;;;;;;;;;x;;;;;;;;;
EVTOPTA_RIRSEI_464646;Alas, we are too weak and can do nothing?;Hélas, nous sommes trop faibles et nous ne pouvons rien faire !;;;;;;;;;;;x;;;;;;;;;
EVTOPTB_RIRSEI_464646;Very well, we will show that we are the true heirs of Charlemagne and return France to her rightful sovereign!;Hé bien, soit ! Montrons que nous sommes les dignes héritiers de Charlemagne, que la France revienne à son véritable suzerain !;;;;;;;;;;;x;;;;;;;;;
pretention_forez;Reclaim the County of Forez;Réclamer le Comté de Forez;;;;;;;;;;x;;;;;;;;;;
pretention_forez_desc;The County of Forez has historically been more tied to our realm than to the Empire. Now that we have established our sovereignty, it is time to reclaim the County of Forez for France.;Maintenant qu'il est établi qu'il existe nul souverain temporel au-dessus de nous, il est temps de réclamer que le Comté de Forez soit rattaché au royaume de France, car autrefois, cette région ne dépendait pas de l'Empire mais bien de notre royaume;;;;;;;;;;x;;;;;;;;;;
pretention_barrois;Reclaim the County of Barrois;Réclamer le Barrois mouvant;;;;;;;;;;;x;;;;;;;;;
pretention_barrois_desc;The County of Barrois is a vassal of the Empire, but its borders extend into land that is indisputably ours. Our jurists have determined that the land to the west of the Meuse was alloted to the kingdom of West Francia, which by extension makes it ours. It is time to reclaim our right to Barrois!;Le Comte du Barrois est un vassal de l'Empire. Mais les limites sont floues entre le royaume de France et l'Empire dans cette région. Les derniers travaux de nos juristes ont pourtant établi que la rive gauche de la Meuse fut allouée au royaume de Francie occidentale. Il est désormais temps de réclamer nos droits légitimes sur cette terre;;;;;;;;;;;x;;;;;;;;;
confirmer_barrois;Declare Barrois de jure;Le Barrois mouvant est dévolu au royaume;;;;;;;;;;;x;;;;;;;;;
confirmer_barrois_desc;Our jurists have been hard at work publishing documents to prove our right to the County of Barrois. Granted that we are Emperor over the realm, this region will finally be reclaimed as a de jure part of the Kingdom of France.;Nos juristes ont bien travaillé : ils viennent de publier plusieurs documents prouvant de nos bons droits sur le Barrois mouvant. Etant donné que nous sommes empereur en notre royaume, cette région appartient désormais de jure au royaume de France;;;;;;;;;;;x;;;;;;;;;
confirmer_forez;Declare Forez de jure;Le Forez est dévolu au royaume;;;;;;;;;;;x;;;;;;;;;
confirmer_forez_desc;Publishing documents affirming our rights to the County of Forez will allow us to force the Emperor to recognize it as a de jure part of the Kingdom of France.;Publier plusieurs documents juridiques sur nos droits sur le Forez nous permettra de négocier ou d'imposer à l'empereur que cette région, appartenant de facto à notre royaume, puisse relever désormais de jure du royaume de France.;;;;;;;;;;;x;;;;;;;;;
pretention_lyon;Reclaim Lyon;Réclamer le Lyonnais;;;;;;;;;;;x;;;;;;;;;
pretention_lyon_desc;The city of Lyon has long been torn by internal conflict. Normally Lyon is shared with the Empire, but some vassals from the area have long belonged to the Kingdom of France. Let us declare that we will restore the peace in this region... by fully annexing it into our realm, of course.; La ville de Lyon est déchirée depuis longtemps par des conflits internes. Elle relève normalement de l'Empire, mais quelques vassaux de la région appartiennent au royaume de France depuis fort longtemps. Déclarons que nous voulons restaurer la paix dans cette région...en l'annexant entièrement bien entendu;;;;;;;;;;;x; ;;;;;;;;
confirmer_lyon;Declare Lyon de jure;Le Lyonnais est dévolu au royaume;;;;;;;;;;;x;;;;;;;;;
confirmer_lyon_desc;Publishing documents affirming our rights to Lyon will allow us to force the Emperor to recognize it as a de jure part of the Kingdom of France. Let us return the Archbishopric of Gaul to Gaul!;Publier plusieurs documents juridiques sur nos droits sur le Lyonnais nous permettra de négocier ou d'imposer à l'empereur que cette région, appartenant de facto à notre royaume, puisse relever désormais de jure du royaume de France. Faisons en sorte que que l'archevêché des Gaules retourne en Gaule !;;;;;;;;;;;x;;;;;;;;;
pretention_vivarais;Reclaim Vivarais;Réclamer le Vivarais;;;;;;;;;;;x;;;;;;;;;
pretention_vivarais_desc;Vivarais is a region on the east bank of the Rhône, which forms the natural border of the Kingdom of France. However, Vivarais currently is a de jure part of the Kingdom of Arles, that is, the Empire. Given that we are Emperor within our realm, it is time to correct this exception!;Le Vivarais est une région de la rive droite du Rhône, qui forme la limite acceptée du royaume de France. Cependant, les seigneurs du Vivarais n'appartiennent pas au royaume de France et ils dépendent de jure du royaume d'Arles, c'est-à-dire de l'Empire. Etant donné que nous sommes empereur en notre royaume, il est temps de régler cette exception !;;;;;;;;;;;x;;;;;;;;;
confirmer_vivarais;Declare Vivarais de jure;Le Vivarais est dévolu au royaume;;;;;;;;;;;x;;;;;;;;;
confirmer_vivarais_desc;Publishing documents affirming our rights to Vivarais will allow us to force the Emperor to recognize it as a de jure part of the Kingdom of France.;Publier plusieurs documents juridiques sur nos droits sur le Vivarais nous permettra de négocier ou d'imposer à l'empereur que cette région, appartenant de facto à notre royaume, puisse relever désormais de jure du royaume de France.;;;;;;;;;;;x;;;;;;;;;
confirmer_bourgo;Incorporate the County of Burgundy;Rattacher le Comté de Bourgogne au royaume;;;;;;;;;;;x;;;;;;;;;
confirmer_bourgo_desc;One way or another, the County of Burgundy has fallen de facto in our hands. Although the Counts of Burgundy have long led an independent policy opposite to that of the Emperor, they have remained a part of the Empire. In order for the peers to vote in approval of incorporating Burgundy into the realm so that the two Burgundies can be united, we absolutely need the consent of the Emperor.;D'une manière ou d'une autre, la Comté de Bourgogne est tombée de facto entre nos mains. Même si les Comtes de Bourgogne menèrent depuis fort longtemps une politique indépendante vis-à-vis de l'empereur, la Comté de Bourgogne reste terre d'Empire. Pour que le Parlement accepte de voter le rattachement à la couronne, et pour que les deux Bourgognes soient réunies, il nous faut absolument le consentement de l'empereur. ;;;;;;;;;;;x;;;;;;;;;
confirmer_dauph;Declare Dauphiné de jure;Le Dauphiné est dévolu au royaume;;;;;;;;;;;x;;;;;;;;;
confirmer_dauph_desc;Dauphiné has been restored to our rule. Publishing documents affirming our rights to Dauphiné will allow us to force the Emperor to recognize it as a de jure part of the Kingdom of France.;D'une façon ou d'une autre, le Dauphiné est tombé entre nos mains. Publier plusieurs documents juridiques de nos droits sur le Dauphiné nous permettra de négocier ou d'imposer à l'empereur que cette région, appartenant de facto à notre royaume, puisse relever désormais de jure du royaume de France.;;;;;;;;;;;x;;;;;;;;;
#k_polandball;Regnum Poloniae;Regnum Poloniae;Polen;;Polonia;;;;;;;;;x;;;;;;;;
k_polandball_adj;Polish;Polonaise;Polnischer;;Polaca;;;;;;;;;x;;;;;;;;
restaurer_pologne_desc;Under our lead, the lands once ruled by Boleslaw the Valiant, first king of Poland have been restored to Polish rule. Although we have for a long time endured the semi-sovereignty of the Empire over our lands, it has become weak and feeble. Under the blessing of the Holy Father, Poland could be ruled by a Polish king once again!;Notre pouvoir que nous exerçons sur la Pologne est aussi puissant que celui de Boleslas le Vaillant, premier roi de Pologne. L'Empire est faible et nous supportons mal sa prétendue suzeraineté sur nos terres. Avec le consentement du Saint-Père, il est temps que la Pologne recouvre un roi !;;;;;;;;;;;x;;;;;;;;;
restaurer_pologne;Request the Crown of Poland from the Pope;Demander la couronne de Pologne au Pape;;;;;;;;;;;x;;;;;;;;;
EVTNAME_RIRSEI_474747;The Kingdom of Poland Restored!;La Pologne redevient un royaume;;;;;;;;;;;x;;;;;;;;;
EVTDESC_RIRSEI_474747;Boleslaw the Valiant became the first king of Poland after affirming his independence from the Empire. Alas, his successors were all exceptionally weak monarchs, and even Casimir The Restorer had to settle for the title of Duke while the Empire reclaimed sovereignty over our territories. But this is an old story, never shall we be the vassals of Niemcy! ;Boleslas le Vaillant fut le premier Roi de Pologne, affirmant par-là son indépendance par rapport à l'Empire. Hélas, bien faibles furent les monarques suivants et même Casimir le Restaurateur dut se contenter du titre de Duc, alors que l'Empire réclamait la suzeraineté sur nos territoires. Mais ceci est de l'histoire ancienne, plus jamais nous ne serons les vassaux des Niemcy !;;;;;;;;;;;x;;;;;;;;;
EVTOPTA_RIRSEI_474747;Long live Poland!;Vive le nouveau royaume de Pologne !;;;;;;;;;;;x;;;;;;;;;
Emp_pol_rex;The Emperor is displeased with the restoration of the Kingdom of Poland;L'Empereur est mécontent du nouveau titre royal du souverain de Pologne, qui lui a enlevé toute légitimité sur ces terres;;;;;;;;;;;x;;;;;;;;;
EVTNAME_RIRSEI_484848;The Kingdom of Poland Restored!;La Pologne retrouve un Roi !;;;;;;;;;;;x;;;;;;;;;
EVTDESC_RIRSEI_484848;Curse the Duke of Poland! He took advantage of our weakness and his relationship with the Pope to be crowned king. Now we can no longer claim any temporal sovereignty over them. ;Maudit soit le Duc de Pologne ! Il a profité de notre faiblesse et de ses relations avec le Pape pour se faire couronner roi. Désormais, nous ne pouvons plus prétendre à une quelconque suzeraineté temporelle sur eux !;;;;;;;;;;;x;;;;;;;;;
EVTOPTA_RIRSEI_484848;A loss for the Empire!;Malheur pour l'Empire !;;;;;;;;;;;x;;;;;;;;;
EVTTOOLTIPRIRSEI.474747;The Pope sends us a Crown;Le Pape nous envoie une couronne !;;;;;;;;;;;x;;;;;;;;;
reclamer_pologne;Reclaim Poland for the Empire;La Pologne doit revenir à l'Empire !;;;;;;;;;;;x;;;;;;;;;
reclamer_pologne_desc;Since Mieszko gave up his title of king, the Duchy of Poland lived in a state of semi-vassalage under the Empire. Alas, our many internal conflicts have made it difficult for us to enforce this. Now that we have consolidated the Empire, it is time to make things clear: Poland will be integrated into the Empire, whether by will or by force!;Depuis que Mieszko Lambert a renoncé à son titre de roi, le Duché de Pologne vivait dans un état de demi-vassalité par rapport à l'Empire. Hélas, nos nombreuses difficultés internes nous ont empêché d'aller au bout de cette logique. Maintenant que le pouvoir impérial est fort, il est temps de clarifier les choses : la Pologne integrera l'Empire, de gré ou de force !;;;;;;;;;;;x;;;;;;;;;
EVTNAME_RIRSEI_494949;The Emperor's Ultimatum;Ultimatum de l'Empereur !;;;;;;;;;;;x;;;;;;;;;
EVTDESC_RIRSEI_494949;After Mieszko renounced the title of king, the Duchy of Poland lived in a state of semi-vassalage under the Empire. Despite the interal conflicts raging within the latter, we have not succeeded in restoring full independence and the Emperor has demanded that we rejoin the Empire. We must make a choice!;Depuis que Mieszko Lambert a renoncé à son titre de roi, le Duché de Pologne vivait dans un état de demi-vassalité par rapport à l'Empire. Malgré les difficultés internes de ce dernier, nous n'avons pas réussi à restaurer une indépendance totale et l'Empereur exige que nous rejoignons l'Empire. Il nous faut faire un choix !;;;;;;;;;;;x;;;;;;;;;
EVTOPTA_RIRSEI_494949;Rejoin the Empire, so that Christendom can be reunited!;Rejoignons l'Empire, que la chrétienté soit unie !;;;;;;;;;;;x;;;;;;;;;
EVTOPTB_RIRSEI_494949;We will never bend the knee!;Jamais nous ne courberons l'échine !;;;;;;;;;;x;;;;;;;;;;
EVTNAME_RIRSEI_505050;Poland rejoins the Empire!;La Pologne rejoint l'Empire !;;;;;;;;;;x;;;;;;;;;;
EVTDESC_RIRSEI_505050;Most joyous news! The Duke of Poland was responded favorably to our demand that he rejoin the Empire! Long live the Imperium Romanum!;Heureuses nouvelles ! Le Duc de Pologne a répondu favorablement à notre demande et il a rejoint l'Empire. Vive l'Imperium Romanum !;;;;;;;;;;x;;;;;;;;;;
EVTOPTA_RIRSEI_505050;Christendom shall be gathered together under the Empire!;La chrétienté se rassemble derrière l'Empereur !;;;;;;;;;;x;;;;;;;;;;
EVTNAME_RIRSEI_515151;Poland refuses our ultimatum!;La Pologne refuse de nous rejoindre !;;;;;;;;;;x;;;;;;;;;;
EVTDESC_RIRSEI_515151;Woe to the Duke of Poland! He has humiliated us by refusing to join the Empire despite his being only a vassal! This infamy must be washed in blood!;Malheur au Duc de Pologne ! Il nous a humilié en refusant de rejoindre l'Empire alors qu'ils ne sont que des vassaux ! Que cette infamie soit lavée dans le sang !;;;;;;;;;;x;;;;;;;;;;
EVTOPTA_RIRSEI_515151;It is time to unsheathe the sword from its scabbard...;Il est temps de sortir le glaive de son fourreau?;;;;;;;;;;;x;;;;;;;;;
limited_crown_election;Restrict the power of the vassals;Atteinte aux pouvoirs des vassaux;;;;;;;;;;;x;;;;;;;;;
maximum_crown_election;Severely restrict the power of the vassals;Atteinte grave aux pouvoirs des vassaux;;;;;;;;;;x;;;;;;;;;;
EVTDESC_RIRSEI_2000000;I am glad that the tyrannical customs of the Crown have been abolished!;Je suis heureux que les mauvaises coutumes de la Couronne ont été abolies.;;;;;;;;;;x;;;;;;;;;;
EVTOPTA_RIRSEI_2000000;I have considerable autonomy!;J'ai une autonomie considérable !;;;;;;;;;;x;;;;;;;;;;
EVTDESC_RIRSEI_2000005;I disapprove of my liege's intention to interfere in my affairs.;Je n'aime guère les prétentions actuelles du suzerain a fourrer son nez dans mes affaires;;;;;;;;;;x;;;;;;;;;;
EVTOPTA_RIRSEI_2000005;What a disappointment...;Je suis déçu;;;;;;;;;;x;;;;;;;;;;
EVTDESC_RIRSEI_2000010;I am sickened to see my liege behave like an oriental despot, interfering in the affairs of MY land.;Je suis ulcéré de voir mon suzerain se comporter comme le dernier despote oriental en mettant son nez un peu partout dans son royaume, et surtout sur MES terres;;;;;;;;;;x;;;;;;;;;;
EVTOPTA_RIRSEI_2000010;What a travesty...;Je suis déçu;;;;;;;;;;x;;x;;;;;;;;
EVTDESC_RIRSEI_2002000;I have expressed my desire to be crowned by the Pope in Rome. I hope that he will accept my request.;J'ai exprimé mon souhait et mon désir au Saint-Père pour me faire couronner à Rome. J'espère qu'il acceptera ma demande.;;;;;;;;;;x;;x;;;;;;;;
EVTOPTA_RIRSEI_2002000;I'm sure he will accept.;Bah, bien sûr qu'il acceptera !;;;;;;;;;;x;;;;;;;;;;
EVTDESC_RIRSEI_2002005;To His Holiness [Root.GetTitledFirstName], \nI ask for your blessing and approval of my coronation as Emperor in Rome. \nYour most devoted subject, \n [From.GetTitledName];Au Saint-Père, apostolique et bienheureux, Je vous demande votre bénédiction afin que je sois couronné Empereur à Rome. Votre sujet le plus dévoué, \n [From.GetTitledName];;;;;;;;;;x;;;;;;;;;;
EVTOPTA_RIRSEI_2002005;Prepare the coronation and summon him to Rome.;Envoyons-lui une missive positive et préparons la cérémonie du couronnement;;;;;;;;;;x;;;;;;;;;;
EVTOPTB_RIRSEI_2002005;Surely he must be joking...;Le couronner Empereur ? Lui ? Pardon ?;;;;;;;;;;x;;;;;;;;;;
EVTDESC_RIRSEI_2002010;To the most pious and illustrious King of the Romans, \nIn the name of Jesus our Lord, I offer you my blessing and my permission to come to Rome to be crowned as Emperor of the Romans. \nPax Christi, \n[From.GetTitledFirstName];Au très pieux et illustre roi des Romains \nAu nom du Seigneur, je vous offre ma bénédiction pour permettre votre couronnement à Rome, comme Empereur des Romains, pour guider la chrétienté.;;;;;;;;;;x;;;;;;;;;;
EVTOPTA_RIRSEI_2002010;Excellent! We must now invite our vassals to the ceremony in Rome!;Excellent ! Maintenant, invitons nos vassaux pour la cérémonie à Rome !;;;;;;;;;;x;;;;;;;;;;
EVTDESC_RIRSEI_2002015;To His Majesty the King of the Romans, \nIn the name of our Lord, I wish to inform that you are not yet worthy to receive my benediction nor my permission to be crowned as Emperor of the Romans. Remember well that the favor of our Lord falls only on the purest and most righteous of souls. \nPax Christi, \nHis Holiness [From.GetTitledFirstName];A sa Majesté le roi des Romains. \nAu nom du Seigneur, je souhaite vous informer que je considère que vous n'êtes pas encore assez digne et juste pour recevoir ma bénédiction et devenir Empereur des Romains. Rappelez-vous que la bénédiction du Seigneur n'est pas facile à recevoir et demande la plus pure des âmes. Signé \nSa sainteté le Pape;;;;;;;;;;x;;;;;;;;;;
EVTOPTA_RIRSEI_2002015;"A simple ""No"" would have sufficed...";"Un simple Non"" aurait été bien plus court et significatif?";;;;;;;;;;x;;;;;;;;;;
EVTDESC_RIRSEI_2002020;To [Root.GetTitledFirstName],\nBy the Grace of God and the blessing of His Holiness the Pope, I am to be crowned Emperor in Rome. I extend to you an invitation to attend the coronation and eagerly await your response. \n[From.GetTitledName];A messire [Root.GetTitledFirstName], \nJe pense que vous serez heureux de savoir que je tiendrai une cérémonie de couronnement à Rome en mon honneur, avec la bénédiction de sa Sainteté le Pape. Vous avez reçu l'honneur d'être invité à assister à la cérémonie, qui se tiendra bientôt à Rome. J'attends votre réponse.\n\nVotre Suzerain et Seigneur, [From.GetTitledName];;;;;;;;;;x;;;;;;;;;;
EVTOPTA_RIRSEI_2002020;I would be honored to attend the coronation!;Je vais lui écrire que je serais heureux d'assister à son couronnement;;;;;;;;;;x;;;;;;;;;;
EVTOPTB_RIRSEI_2002020;I would rather become a serf that attend that imbecile's coronation!;Plutôt devenir serf que d'assister au couronnement de cet imbécile !;;;;;;;;;;x;;;;;;;;;;
EVTDESC_RIRSEI_2002025;[From.GetTitledName] regrets to inform you that he cannot attend your coronation in Rome due to more pressing issues that require [From.GetHerHis] attention.;[From.GetTitledName] est désolé de vous informer qu'il ne pourra assister à votre cérémonie de couronnement à Rome, car il a des problèmes plus importants à régler.;;;;;;;;;;x;;;;;;;;;;
EVTOPTA_RIRSEI_2002025; I don't have words to describe this infamy!;Je n'ai pas de mots pour décrire cette infamie !;;;;;;;;;;x;;;;;;;;;;
EVTNAME_RIRSEI_2002050;Emperor of the Romans;Empereur des Romains;;;;;;;;;;x;;;;;;;;;;
EVTNAME_RIRSEI_2002065;The Pope crown a new Emperor;Le Pape couronne un nouvel Empereur;;;;;;;;;;x;;;;;;;;;;
EVTDESC_RIRSEI_2002065;On the name of Christ, I, [Root.GetTitledFirstName], promise and guaranteed before the eyes of God and St. Peter that I would protect and defend the Roman, Catholic and Apostolic Church, by all means to the extent that I'm supported by the divine blessing.;Au nom du Christ, je,[Root.GetTitledFirstName], promets et garantis devant les yeux de Dieu et de saint-Pierre que je protégerais et que je défendrais l'Eglise romaine, catholique et apostolique, par tous les moyens utiles, dans la mesure où je suis soutenu par la bénédiction divine.;;;;;;;;;;x;;;;;;;;;;
EVTDESC_RIRSEI_2002050;Today, I was crowned by His Holiness the Pope: I am officially Emperor of the Romans, and I got the Regalia of the Empire, with the blessing of the Holy Father;"Aujourd'hui, j'ai été couronné par sa Sainteté le Pape : je suis officiellement "Empereur des Romains", et j'ai reçu les Regalia de l'Empire, avec la bénédiction du Saint-Père.";;;;;;;;;;x;;;;;;;;;;
EVTOPTA_RIRSEI_2002050;Now, I'm the rightful ruler of the Empire;Désormais, je suis le souverain légitime de l'Empire;;;;;;;;;;x;;;;;;;;;;
EVTDESC_RIRSEI_2002055;"Today, [From.GetTitledFirstName] was crowned by His Holiness the Pope : it is officially ""Emperor of the Romans"", and he received the Regalia of the Empire, with the blessing of the Holy Father .The ceremony was beautiful";"Aujourd'hui, [From.GetTitledFirstName] a été couronné par sa Sainteté le Pape : il est officiellement "Empereur des Romains", et il a reçu les Regalia de l'Empire, avec la bénédiction du Saint-Père. La cérémonie était magnifique.";;;;;;;;;;x;;;;;;;;;;
EVTOPTA_RIRSEI_2002055;Long live [From.GetTitledFirstName] ! ;Longue vie à [From.GetTitledFirstName] !;;;;;;;;;;x;;;;;;;;;;
EVTDESC_RIRSEI_2002060;[From.GetTitledFirstName] was crowned by the Pope in Rome, and he received the Regalia.The Divine blessing granted by the Pope made ??him the true ruler of the Empire.;[From.GetTitledFirstName] a été couronné par le Saint-Père à Rome, et il a reçu les Regalia. La bénédiction divine octroyée par le Pape fait de lui un véritable souverain de l'Empire.;;;;;;;;;;x;;;;;;;;;;
